scenario,trial,threshold,share_count,available_count,corrupted_count,expected_result,recovery_succeeded,key_matches,decryption_succeeded,failure_reason,share_generation_ms,recovery_ms,corrected_error_count,storage_overhead_ratio
Normal recovery,1,3,5,5,0,Success,True,True,True,,0.053499999921768904,0.2426999999443069,0,15.0
Normal recovery,2,3,5,5,0,Success,True,True,True,,0.020499996026046574,0.15970000822562724,0,15.0
Normal recovery,3,3,5,5,0,Success,True,True,True,,0.015300000086426735,0.14449999434873462,0,15.0
Normal recovery,4,3,5,5,0,Success,True,True,True,,0.01340000017080456,0.15730000450275838,0,15.0
Normal recovery,5,3,5,5,0,Success,True,True,True,,0.014199991710484028,0.14279999595601112,0,15.0
Normal recovery,6,3,5,5,0,Success,True,True,True,,0.01379998866468668,0.1365999924018979,0,15.0
Normal recovery,7,3,5,5,0,Success,True,True,True,,0.01200000406242907,0.13279999257065356,0,15.0
Normal recovery,8,3,5,5,0,Success,True,True,True,,0.011299998732283711,0.13100000796839595,0,15.0
Normal recovery,9,3,5,5,0,Success,True,True,True,,0.011500000255182385,0.13120000949129462,0,15.0
Normal recovery,10,3,5,5,0,Success,True,True,True,,0.012599994079209864,0.13399998715613037,0,15.0
Normal recovery,11,3,5,5,0,Success,True,True,True,,0.012400007108226418,0.13099999341648072,0,15.0
Normal recovery,12,3,5,5,0,Success,True,True,True,,0.012299991794861853,0.13499999477062374,0,15.0
Normal recovery,13,3,5,5,0,Success,True,True,True,,0.012499993317760527,0.13509999553207308,0,15.0
Normal recovery,14,3,5,5,0,Success,True,True,True,,0.012899996363557875,0.13190000026952475,0,15.0
Normal recovery,15,3,5,5,0,Success,True,True,True,,0.012099990271963179,0.13089999265503138,0,15.0
Normal recovery,16,3,5,5,0,Success,True,True,True,,0.01239999255631119,0.1976999919861555,0,15.0
Normal recovery,17,3,5,5,0,Success,True,True,True,,0.012699994840659201,0.13410000246949494,0,15.0
Normal recovery,18,3,5,5,0,Success,True,True,True,,0.012500007869675756,0.13169999874662608,0,15.0
Normal recovery,19,3,5,5,0,Success,True,True,True,,0.01300001167692244,0.12960001186002046,0,15.0
Normal recovery,20,3,5,5,0,Success,True,True,True,,0.01170000177808106,0.12989999959245324,0,15.0
Normal recovery,21,3,5,5,0,Success,True,True,True,,0.011800002539530396,0.13040000339969993,0,15.0
Normal recovery,22,3,5,5,0,Success,True,True,True,,0.011800002539530396,0.12969999806955457,0,15.0
Normal recovery,23,3,5,5,0,Success,True,True,True,,0.011699987226165831,0.1272000081371516,0,15.0
Normal recovery,24,3,5,5,0,Success,True,True,True,,0.011799987987615168,0.1297999988310039,0,15.0
Normal recovery,25,3,5,5,0,Success,True,True,True,,0.01170000177808106,0.12969999806955457,0,15.0
Minimum valid recovery,1,3,5,3,0,Success,True,True,True,,0.012200005585327744,0.05539999983739108,0,15.0
Minimum valid recovery,2,3,5,3,0,Success,True,True,True,,0.012099990271963179,0.0695999915478751,0,15.0
Minimum valid recovery,3,3,5,3,0,Success,True,True,True,,0.011800002539530396,0.056900011259131134,0,15.0
Minimum valid recovery,4,3,5,3,0,Success,True,True,True,,0.01200000406242907,0.05390000296756625,0,15.0
Minimum valid recovery,5,3,5,3,0,Success,True,True,True,,0.011099997209385037,0.16889999096747488,0,15.0
Minimum valid recovery,6,3,5,3,0,Success,True,True,True,,0.034200013033114374,0.14449999434873462,0,15.0
Minimum valid recovery,7,3,5,3,0,Success,True,True,True,,0.021400002879090607,0.09000000136438757,0,15.0
Minimum valid recovery,8,3,5,3,0,Success,True,True,True,,0.017499987734481692,0.07850000110920519,0,15.0
Minimum valid recovery,9,3,5,3,0,Success,True,True,True,,0.016299993149004877,0.07069999992381781,0,15.0
Minimum valid recovery,10,3,5,3,0,Success,True,True,True,,0.012799995602108538,0.06399999256245792,0,15.0
Minimum valid recovery,11,3,5,3,0,Success,True,True,True,,0.014199991710484028,0.05919999966863543,0,15.0
Minimum valid recovery,12,3,5,3,0,Success,True,True,True,,0.01920000067912042,0.05780000356025994,0,15.0
Minimum valid recovery,13,3,5,3,0,Success,True,True,True,,0.01200000406242907,0.06049999501556158,0,15.0
Minimum valid recovery,14,3,5,3,0,Success,True,True,True,,0.012200005585327744,0.0568000104976818,0,15.0
Minimum valid recovery,15,3,5,3,0,Success,True,True,True,,0.012900010915473104,0.15619999612681568,0,15.0
Minimum valid recovery,16,3,5,3,0,Success,True,True,True,,0.012500007869675756,0.07049999840091914,0,15.0
Minimum valid recovery,17,3,5,3,0,Success,True,True,True,,0.012699994840659201,0.06180000491440296,0,15.0
Minimum valid recovery,18,3,5,3,0,Success,True,True,True,,0.012299991794861853,0.056899996707215905,0,15.0
Minimum valid recovery,19,3,5,3,0,Success,True,True,True,,0.011500000255182385,0.05750000127591193,0,15.0
Minimum valid recovery,20,3,5,3,0,Success,True,True,True,,0.012299991794861853,0.0577000027988106,0,15.0
Minimum valid recovery,21,3,5,3,0,Success,True,True,True,,0.012100004823878407,0.055199998314492404,0,15.0
Minimum valid recovery,22,3,5,3,0,Success,True,True,True,,0.012100004823878407,0.054499992984347045,0,15.0
Minimum valid recovery,23,3,5,3,0,Success,True,True,True,,0.011500000255182385,0.05560000136028975,0,15.0
Minimum valid recovery,24,3,5,3,0,Success,True,True,True,,0.012299991794861853,0.05750000127591193,0,15.0
Minimum valid recovery,25,3,5,3,0,Success,True,True,True,,0.01170000177808106,0.06999999459367245,0,15.0
Insufficient shares,1,3,5,2,0,Failure,False,False,False,DecodingFailure,0.011800002539530396,0.003600012860260904,0,15.0
Insufficient shares,2,3,5,2,0,Failure,False,False,False,DecodingFailure,0.011099997209385037,0.002800006768666208,0,15.0
Insufficient shares,3,3,5,2,0,Failure,False,False,False,DecodingFailure,0.011199997970834374,0.001700012944638729,0,15.0
Insufficient shares,4,3,5,2,0,Failure,False,False,False,DecodingFailure,0.010799994925037026,0.0013999961083754897,0,15.0
Insufficient shares,5,3,5,2,0,Failure,False,False,False,DecodingFailure,0.011399999493733048,0.0017999991541728377,0,15.0
Insufficient shares,6,3,5,2,0,Failure,False,False,False,DecodingFailure,0.011299998732283711,0.0016999983927235007,0,15.0
Insufficient shares,7,3,5,2,0,Failure,False,False,False,DecodingFailure,0.01060000795405358,0.001300009898841381,0,15.0
Insufficient shares,8,3,5,2,0,Failure,False,False,False,DecodingFailure,0.01060000795405358,0.0016999983927235007,0,15.0
Insufficient shares,9,3,5,2,0,Failure,False,False,False,DecodingFailure,0.01060000795405358,0.0012999953469261527,0,15.0
Insufficient shares,10,3,5,2,0,Failure,False,False,False,DecodingFailure,0.010000003385357559,0.0010999938240274787,0,15.0
Insufficient shares,11,3,5,2,0,Failure,False,False,False,DecodingFailure,0.009900002623908222,0.001200009137392044,0,15.0
Insufficient shares,12,3,5,2,0,Failure,False,False,False,DecodingFailure,0.011900003300979733,0.0013999961083754897,0,15.0
Insufficient shares,13,3,5,2,0,Failure,False,False,False,DecodingFailure,0.011500000255182385,0.0015999976312741637,0,15.0
Insufficient shares,14,3,5,2,0,Failure,False,False,False,DecodingFailure,0.010800009476952255,0.0013999961083754897,0,15.0
Insufficient shares,15,3,5,2,0,Failure,False,False,False,DecodingFailure,0.009900002623908222,0.0012999953469261527,0,15.0
Insufficient shares,16,3,5,2,0,Failure,False,False,False,DecodingFailure,0.009700001101009548,0.0013999961083754897,0,15.0
Insufficient shares,17,3,5,2,0,Failure,False,False,False,DecodingFailure,0.010099989594891667,0.001100008375942707,0,15.0
Insufficient shares,18,3,5,2,0,Failure,False,False,False,DecodingFailure,0.010000003385357559,0.0011999945854768157,0,15.0
Insufficient shares,19,3,5,2,0,Failure,False,False,False,DecodingFailure,0.010899995686486363,0.0011999945854768157,0,15.0
Insufficient shares,20,3,5,2,0,Failure,False,False,False,DecodingFailure,0.010099989594891667,0.0010999938240274787,0,15.0
Insufficient shares,21,3,5,2,0,Failure,False,False,False,DecodingFailure,0.009899988071992993,0.0010999938240274787,0,15.0
Insufficient shares,22,3,5,2,0,Failure,False,False,False,DecodingFailure,0.010200004908256233,0.004599991370923817,0,15.0
Insufficient shares,23,3,5,2,0,Failure,False,False,False,DecodingFailure,0.023600005079060793,0.002700006007216871,0,15.0
Insufficient shares,24,3,5,2,0,Failure,False,False,False,DecodingFailure,0.014600009308196604,0.0018999999156221747,0,15.0
Insufficient shares,25,3,5,2,0,Failure,False,False,False,DecodingFailure,0.012400007108226418,0.0012999953469261527,0,15.0
"One corrupted share, enough redundancy",1,3,5,5,1,Success,True,True,True,,0.011299998732283711,0.20670000230893493,1,15.0
"One corrupted share, enough redundancy",2,3,5,5,1,Success,True,True,True,,0.01340000017080456,0.18599999020807445,1,15.0
"One corrupted share, enough redundancy",3,3,5,5,1,Success,True,True,True,,0.013199998647905886,0.18200000340584666,1,15.0
"One corrupted share, enough redundancy",4,3,5,5,1,Success,True,True,True,,0.01270000939257443,0.1680999994277954,1,15.0
"One corrupted share, enough redundancy",5,3,5,5,1,Success,True,True,True,,0.012300006346777081,0.17210000078193843,1,15.0
"One corrupted share, enough redundancy",6,3,5,5,1,Success,True,True,True,,0.013700002455152571,0.16709999181330204,1,15.0
"One corrupted share, enough redundancy",7,3,5,5,1,Success,True,True,True,,0.01200000406242907,0.17079999088309705,1,15.0
"One corrupted share, enough redundancy",8,3,5,5,1,Success,True,True,True,,0.012200005585327744,0.18679999629966915,1,15.0
"One corrupted share, enough redundancy",9,3,5,5,1,Success,True,True,True,,0.0202999945031479,0.3068999940296635,1,15.0
"One corrupted share, enough redundancy",10,3,5,5,1,Success,True,True,True,,0.01580000389367342,0.1829000102588907,1,15.0
"One corrupted share, enough redundancy",11,3,5,5,1,Success,True,True,True,,0.013500000932253897,0.185500000952743,1,15.0
"One corrupted share, enough redundancy",12,3,5,5,1,Success,True,True,True,,0.012900010915473104,0.17049998859874904,1,15.0
"One corrupted share, enough redundancy",13,3,5,5,1,Success,True,True,True,,0.02239999594166875,0.1660999987507239,1,15.0
"One corrupted share, enough redundancy",14,3,5,5,1,Success,True,True,True,,0.012100004823878407,0.16199999663513154,1,15.0
"One corrupted share, enough redundancy",15,3,5,5,1,Success,True,True,True,,0.01170000177808106,0.1630000042496249,1,15.0
"One corrupted share, enough redundancy",16,3,5,5,1,Success,True,True,True,,0.011900003300979733,0.16170000890269876,1,15.0
"One corrupted share, enough redundancy",17,3,5,5,1,Success,True,True,True,,0.011999989510513842,0.1632999919820577,1,15.0
"One corrupted share, enough redundancy",18,3,5,5,1,Success,True,True,True,,0.010700008715502918,0.1934000028995797,1,15.0
"One corrupted share, enough redundancy",19,3,5,5,1,Success,True,True,True,,0.011800002539530396,0.15720000374130905,1,15.0
"One corrupted share, enough redundancy",20,3,5,5,1,Success,True,True,True,,0.01200000406242907,0.16250000044237822,1,15.0
"One corrupted share, enough redundancy",21,3,5,5,1,Success,True,True,True,,0.011500000255182385,0.16599999798927456,1,15.0
"One corrupted share, enough redundancy",22,3,5,5,1,Success,True,True,True,,0.011800002539530396,0.1584999990882352,1,15.0
"One corrupted share, enough redundancy",23,3,5,5,1,Success,True,True,True,,0.011500000255182385,0.18230000569019467,1,15.0
"One corrupted share, enough redundancy",24,3,5,5,1,Success,True,True,True,,0.01200000406242907,0.1576000067871064,1,15.0
